"ORDER
NUMBER","QUANTITY
ORDERED", PRICEEACH , SALES AMOUNT ,STATUS,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,COMPANY_NAME,CITY,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107,30,96,"2,871",Shipped,2,2003,Motorcycles,S10_1678,Land of Toys Inc.,NYC,USA,NA,Yu,Kwai,Small
10121,34,81,"2,766",Shipped,5,2003,Motorcycles,S10_1678,Reims Collectables,Reims,France,EMEA,Henriot,Paul,Small
10134,41,95,"3,884",Shipped,7,2003,Motorcycles,S10_1678,Lyon Souveniers,Paris,France,EMEA,Da Cunha,Daniel,Medium
10145,45,83,"3,747",Shipped,8,2003,Motorcycles,S10_1678,Toys4GrownUps.com,Pasadena,USA,NA,Young,Julie,Medium
10159,49,100,"5,205",Shipped,10,2003,Motorcycles,S10_1678,Corporate Gift Ideas Co.,San Francisco,USA,NA,Brown,Julie,Medium
10168,36,97,"3,480",Shipped,10,2003,Motorcycles,S10_1678,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Juri,Medium
10180,29,86,"2,498",Shipped,11,2003,Motorcycles,S10_1678,Daedalus Designs Imports,Lille,France,EMEA,Rance,Martine,Small
10188,48,100,"5,512",Shipped,11,2003,Motorcycles,S10_1678,Herkku Gifts,Bergen,Norway,EMEA,Oeztan,Veysel,Medium
10201,22,99,"2,169",Shipped,12,2003,Motorcycles,S10_1678,Mini Wheels Co.,San Francisco,USA,NA,Murphy,Julie,Small
10211,41,100,"4,708",Shipped,1,2004,Motorcycles,S10_1678,Auto Canal Petit,Paris,France,EMEA,Perrier,Dominique,Medium
10223,37,100,"3,966",Shipped,2,2004,Motorcycles,S10_1678,"Australian Collectors, Co.",Melbourne,Australia,APAC,Ferguson,Peter,Medium
10237,23,100,"2,333",Shipped,4,2004,Motorcycles,S10_1678,Vitachrome Inc.,NYC,USA,NA,Frick,Michael,Small
10251,28,100,"3,189",Shipped,5,2004,Motorcycles,S10_1678,Tekni Collectables Inc.,Newark,USA,NA,Brown,William,Medium
10263,34,100,"3,677",Shipped,6,2004,Motorcycles,S10_1678,Gift Depot Inc.,Bridgewater,USA,NA,King,Julie,Medium
10275,45,93,"4,177",Shipped,7,2004,Motorcycles,S10_1678,La Rochelle Gifts,Nantes,France,EMEA,Labrune,Janine,Medium
10285,36,100,"4,100",Shipped,8,2004,Motorcycles,S10_1678,Marta's Replicas Co.,Cambridge,USA,NA,Hernandez,Marta,Medium
10299,23,100,"2,597",Shipped,9,2004,Motorcycles,S10_1678,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Karttunen,Matti,Small
10309,41,100,"4,394",Shipped,10,2004,Motorcycles,S10_1678,Baane Mini Imports,Stavern,Norway,EMEA,Bergulfsen,Jonas,Medium
10318,46,95,"4,358",Shipped,11,2004,Motorcycles,S10_1678,Diecast Classics Inc.,Allentown,USA,NA,Yu,Kyung,Medium
10329,42,100,"4,396",Shipped,11,2004,Motorcycles,S10_1678,Land of Toys Inc.,NYC,USA,NA,Yu,Kwai,Medium
10341,41,100,"7,738",Shipped,11,2004,Motorcycles,S10_1678,Salzburg Collectables,Salzburg,Austria,EMEA,Pipps,Georg,Large
10361,20,73,"1,451",Shipped,12,2004,Motorcycles,S10_1678,Souveniers And Things Co.,Chatswood,Australia,APAC,Huxley,Adrian,Small
10375,21,35,733,Shipped,2,2005,Motorcycles,S10_1678,La Rochelle Gifts,Nantes,France,EMEA,Labrune,Janine,Small
10388,42,76,"3,207",Shipped,3,2005,Motorcycles,S10_1678,FunGiftIdeas.com,New Bedford,USA,NA,Benitez,Violeta,Medium
10403,24,100,"2,435",Shipped,4,2005,Motorcycles,S10_1678,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Devon,Elizabeth,Small
10417,66,100,"7,516",Disputed,5,2005,Motorcycles,S10_1678,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Diego,Large
10103,26,100,"5,405",Shipped,1,2003,Classic Cars,S10_1949,Baane Mini Imports,Stavern,Norway,EMEA,Bergulfsen,Jonas,Medium
10112,29,100,"7,209",Shipped,3,2003,Classic Cars,S10_1949,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Berglund,Christina,Large
10126,38,100,"7,329",Shipped,5,2003,Classic Cars,S10_1949,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Sommer,Mart¡n,Large
10140,37,100,"7,374",Shipped,7,2003,Classic Cars,S10_1949,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Juri,Large
10150,45,100,"10,994",Shipped,9,2003,Classic Cars,S10_1949,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Natividad,Eric,Large
10163,21,100,"4,860",Shipped,10,2003,Classic Cars,S10_1949,Classic Legends Inc.,NYC,USA,NA,Hernandez,Maria,Medium
10174,34,100,"8,015",Shipped,11,2003,Classic Cars,S10_1949,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Calaghan,Tony,Large
10183,23,100,"5,373",Shipped,11,2003,Classic Cars,S10_1949,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Cervantes,Francisca,Medium
10194,42,100,"7,290",Shipped,11,2003,Classic Cars,S10_1949,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Mary,Large
10206,47,100,"9,065",Shipped,12,2003,Classic Cars,S10_1949,Canadian Gift Exchange Network,Vancouver,Canada,NA,Tannamuri,Yoshi,Large
10215,35,100,"6,075",Shipped,1,2004,Classic Cars,S10_1949,West Coast Collectables Co.,Burbank,USA,NA,Thompson,Steve,Medium
10228,29,100,"6,463",Shipped,3,2004,Classic Cars,S10_1949,Cambridge Collectables Co.,Cambridge,USA,NA,Tseng,Kyung,Medium
10245,34,100,"6,120",Shipped,5,2004,Classic Cars,S10_1949,Super Scale Inc.,New Haven,USA,NA,Murphy,Leslie,Medium
10258,32,100,"7,681",Shipped,6,2004,Classic Cars,S10_1949,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Shimamura,Akiko,Large
10270,21,100,"4,905",Shipped,7,2004,Classic Cars,S10_1949,Souveniers And Things Co.,Chatswood,Australia,APAC,Huxley,Adrian,Medium
10280,34,100,"8,015",Shipped,8,2004,Classic Cars,S10_1949,Amica Models & Co.,Torino,Italy,EMEA,Accorti,Paolo,Large
10291,37,100,"7,136",Shipped,9,2004,Classic Cars,S10_1949,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Larsson,Maria,Large
10304,47,100,"10,173",Shipped,10,2004,Classic Cars,S10_1949,Auto Assoc. & Cie.,Versailles,France,EMEA,Tonini,Daniel,Large
10312,48,100,"11,624",Shipped,10,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Valarie,Large
